timestamp,price,movement,volume,bid_ask_spread,market_resolution
2025-07-31 12:02:29.595953,45.0,0.0,197,0.33,True
2025-07-31 12:07:29.595953,46.78,1.783,179,0.69,True
2025-07-31 12:12:29.595953,45.38,-1.399,317,0.59,True
2025-07-31 12:17:29.595953,45.48,0.094,176,0.7,True
2025-07-31 12:22:29.595953,46.43,0.948,291,0.54,True
2025-07-31 12:27:29.595953,45.02,-1.406,91,0.49,True
2025-07-31 12:32:29.595953,47.0,1.977,343,0.84,True
2025-07-31 12:37:29.595953,47.44,0.44,87,0.67,True
2025-07-31 12:42:29.595953,46.41,-1.025,249,0.75,True
2025-07-31 12:47:29.595953,46.08,-0.335,71,0.7,True
2025-07-31 12:52:29.595953,46.83,0.751,167,0.5,True
2025-07-31 12:57:29.595953,44.3,-2.528,416,0.88,True
2025-07-31 13:02:29.595953,42.55,-1.751,133,0.82,True
2025-07-31 13:07:29.595953,39.51,-3.033,437,0.78,True
2025-07-31 13:12:29.595953,39.04,-0.476,222,0.61,True
2025-07-31 13:17:29.595953,37.88,-1.155,104,0.68,True
2025-07-31 13:22:29.595953,37.77,-0.114,77,0.58,True
2025-07-31 13:27:29.595953,39.37,1.602,228,0.65,True
2025-07-31 13:32:29.595953,42.17,2.799,165,0.59,True
2025-07-31 13:37:29.595953,43.73,1.559,288,0.46,True
2025-07-31 13:42:29.595953,45.07,1.345,230,0.61,True
2025-07-31 13:47:29.595953,45.79,0.713,230,0.4,True
2025-07-31 13:52:29.595953,46.36,0.572,185,0.54,True
2025-07-31 13:57:29.595953,46.5,0.141,198,0.59,True
2025-07-31 14:02:29.595953,48.14,1.635,358,0.78,True
2025-07-31 14:07:29.595953,46.68,-1.459,119,0.65,True
2025-07-31 14:12:29.595953,43.23,-3.451,357,0.95,True
2025-07-31 14:17:29.595953,41.5,-1.723,312,0.67,True
2025-07-31 14:22:29.595953,44.12,2.618,117,0.83,True
2025-07-31 14:27:29.595953,43.94,-0.178,212,0.55,True
2025-07-31 14:32:29.595953,43.95,0.003,55,0.32,True
2025-07-31 14:37:29.595953,44.76,0.817,243,0.38,True
2025-07-31 14:42:29.595953,42.96,-1.805,247,0.8,True
2025-07-31 14:47:29.595953,41.87,-1.084,121,0.59,True
2025-07-31 14:52:29.595953,40.93,-0.944,103,0.78,True
2025-07-31 14:57:29.595953,40.19,-0.744,237,0.46,True
2025-07-31 15:02:29.595953,39.66,-0.524,215,0.43,True
2025-07-31 15:07:29.595953,39.55,-0.112,96,0.36,True
2025-07-31 15:12:29.595953,43.55,4.0,282,0.88,True
