timestamp,price,movement,volume,bid_ask_spread,market_resolution
2025-07-30 19:04:32.185922,45.0,0.0,151,0.48,True
2025-07-30 19:09:32.185922,46.52,1.521,197,0.51,True
2025-07-30 19:14:32.185922,47.57,1.046,144,0.47,True
2025-07-30 19:19:32.185922,47.79,0.228,197,0.71,True
2025-07-30 19:24:32.185922,47.6,-0.196,128,0.6,True
2025-07-30 19:29:32.185922,46.23,-1.369,271,0.8,True
2025-07-30 19:34:32.185922,48.1,1.875,296,0.62,True
2025-07-30 19:39:32.185922,49.75,1.649,147,0.49,True
2025-07-30 19:44:32.185922,50.21,0.457,140,0.38,True
2025-07-30 19:49:32.185922,47.99,-2.224,128,0.63,True
2025-07-30 19:54:32.185922,45.96,-2.025,199,0.61,True
2025-07-30 19:59:32.185922,45.15,-0.809,272,0.61,True
2025-07-30 20:04:32.185922,44.79,-0.361,218,0.44,True
2025-07-30 20:09:32.185922,46.21,1.418,295,0.6,True
2025-07-30 20:14:32.185922,44.15,-2.055,275,0.84,True
2025-07-30 20:19:32.185922,43.28,-0.873,268,0.69,True
2025-07-30 20:24:32.185922,43.79,0.505,249,0.69,True
2025-07-30 20:29:32.185922,41.08,-2.703,376,0.83,True
2025-07-30 20:34:32.185922,40.2,-0.883,136,0.65,True
2025-07-30 20:39:32.185922,38.9,-1.303,307,0.69,True
2025-07-30 20:44:32.185922,38.22,-0.682,124,0.76,True
2025-07-30 20:49:32.185922,40.97,2.75,213,0.68,True
2025-07-30 20:54:32.185922,43.66,2.694,401,0.87,True
2025-07-30 20:59:32.185922,42.89,-0.772,180,0.52,True
2025-07-30 21:04:32.185922,43.66,0.775,134,0.66,True
2025-07-30 21:09:32.185922,44.34,0.675,193,0.55,True
2025-07-30 21:14:32.185922,43.48,-0.858,160,0.69,True
2025-07-30 21:19:32.185922,42.5,-0.977,244,0.56,True
2025-07-30 21:24:32.185922,41.62,-0.88,135,0.43,True
2025-07-30 21:29:32.185922,41.78,0.158,84,0.6,True
2025-07-30 21:34:32.185922,41.72,-0.059,109,0.64,True
2025-07-30 21:39:32.185922,43.09,1.365,230,0.77,True
2025-07-30 21:44:32.185922,41.69,-1.393,318,0.68,True
2025-07-30 21:49:32.185922,41.64,-0.052,119,0.44,True
2025-07-30 21:54:32.185922,41.42,-0.227,150,0.64,True
2025-07-30 21:59:32.185922,43.18,1.763,353,0.5,True
2025-07-30 22:04:32.185922,42.94,-0.237,72,0.43,True
2025-07-30 22:09:32.185922,42.95,0.011,77,0.52,True
2025-07-30 22:14:32.185922,42.89,-0.063,63,0.5,True
