timestamp,price,movement,volume,bid_ask_spread,market_resolution
2025-07-30 19:00:41.753237,51.32,0.342,100,0.59,True
2025-07-30 19:05:41.753237,50.81,-0.508,80,0.45,True
2025-07-30 19:10:41.753237,50.0,-0.815,164,0.42,True
2025-07-30 19:15:41.753237,49.21,-0.783,264,0.76,True
2025-07-30 19:20:41.753237,48.19,-1.028,204,0.62,True
2025-07-30 19:25:41.753237,45.76,-2.428,433,0.65,True
2025-07-30 19:30:41.753237,46.1,0.339,221,0.36,True
2025-07-30 19:35:41.753237,46.84,0.739,232,0.74,True
2025-07-30 19:40:41.753237,46.58,-0.253,99,0.47,True
2025-07-30 19:45:41.753237,47.05,0.467,178,0.42,True
